Initialize godot-rust (API v4.6.stable.official, runtime v4.7.2.stable.mono.official, safeguards balanced)
Godot Engine v4.7.2.stable.mono.official.ed1daf0bf - https://godotengine.org

The Synaptic Sea coherent proof ship bootstrap loaded.
PLAYABLE SHIP READY player_spawned=true camera_spawned=true objectives=5 collision_shapes=112
ACHIEVEMENT UNLOCKED trigger=loot_searched target=loot_cargo_04 id=first_loot
LOOT CONTAINER SEARCHED marker=0:-2:1 container=loot_cargo_04 granted=1
LOOT CONTAINER SEARCHED marker=0:-2:1 container=loot_crew_quarters_05 granted=2
LOOT CONTAINER SEARCHED marker=0:-2:1 container=loot_compartment_07 granted=2
LOOT CONTAINER SEARCHED marker=0:-2:1 container=loot_compartment_08 granted=2
LOOT CONTAINER SEARCHED marker=0:-2:1 container=container_10 granted=2
LOOT CONTAINER SEARCHED marker=0:-2:1 container=container_11 granted=2
LOOT CONTAINER SEARCHED marker=0:-2:1 container=container_12 granted=3
LOOT CONTAINER SEARCHED marker=0:-2:1 container=container_13 granted=3
LOOT CONTAINER SEARCHED marker=0:-2:1 container=container_14 granted=3
LOOT CONTAINER SEARCHED marker=0:-2:1 container=container_26 granted=2
LOOT CONTAINER SEARCHED marker=-1:-2:2 container=loot_maintenance_03 granted=1
LOOT CONTAINER SEARCHED marker=-1:-2:2 container=loot_maintenance_04 granted=2
LOOT CONTAINER SEARCHED marker=-1:-2:2 container=loot_engineering_05 granted=2
LOOT CONTAINER SEARCHED marker=-1:-2:2 container=loot_medical_06 granted=2
LOOT CONTAINER SEARCHED marker=-1:-2:2 container=loot_compartment_09 granted=2
LOOT CONTAINER SEARCHED marker=-1:-2:2 container=loot_compartment_10 granted=1
LOOT CONTAINER SEARCHED marker=-1:-2:2 container=loot_storage_12 granted=2
LOOT CONTAINER SEARCHED marker=-1:-2:2 container=loot_maintenance_13 granted=2
LOOT CONTAINER SEARCHED marker=-1:-2:2 container=container_14 granted=2
LOOT CONTAINER SEARCHED marker=-1:-2:2 container=container_16 granted=2
LOOT CONTAINER SEARCHED marker=-1:-2:2 container=container_17 granted=2
LOOT CONTAINER SEARCHED marker=-1:-2:2 container=container_18 granted=2
LOOT CONTAINER SEARCHED marker=-1:-2:2 container=container_23 granted=2
LOOT CONTAINER SEARCHED marker=-1:-2:2 container=container_24 granted=2
LOOT CONTAINER SEARCHED marker=-1:-2:2 container=container_25 granted=2
LOOT CONTAINER SEARCHED marker=-1:-2:2 container=container_26 granted=2
LOOT CONTAINER SEARCHED marker=-1:-2:2 container=container_32 granted=3
LOOT CONTAINER SEARCHED marker=-1:-2:2 container=container_33 granted=3
LOOT CONTAINER SEARCHED marker=-1:-2:2 container=container_35 granted=2
LOOT CONTAINER SEARCHED marker=0:1:2 container=loot_medical_05 granted=1
