Godot Engine v4.7.2.stable.mono.official.ed1daf0bf - https://godotengine.org

The Synaptic Sea coherent proof ship bootstrap loaded.
PLAYABLE SHIP READY player_spawned=true camera_spawned=true objectives=5 collision_shapes=112
ACHIEVEMENT UNLOCKED trigger=loot_searched target=loot_cargo_04 id=first_loot
LOOT CONTAINER SEARCHED marker=0:0:0 container=loot_cargo_04 granted=2
LOOT CONTAINER SEARCHED marker=0:0:0 container=loot_crew_quarters_05 granted=2
LOOT CONTAINER SEARCHED marker=0:0:0 container=loot_compartment_07 granted=2
LOOT CONTAINER SEARCHED marker=0:0:0 container=loot_compartment_08 granted=2
LOOT CONTAINER SEARCHED marker=0:0:0 container=container_10 granted=2
LOOT CONTAINER SEARCHED marker=0:0:0 container=container_12 granted=2
LOOT CONTAINER SEARCHED marker=0:0:0 container=container_13 granted=3
LOOT CONTAINER SEARCHED marker=0:0:0 container=container_14 granted=3
LOOT CONTAINER SEARCHED marker=0:0:0 container=container_26 granted=3
LOOT CONTAINER SEARCHED marker=0:-1:2 container=loot_crew_quarters_03 granted=1
LOOT CONTAINER SEARCHED marker=0:-1:2 container=loot_armory_05 granted=2
LOOT CONTAINER SEARCHED marker=0:-1:2 container=loot_storage_07 granted=2
LOOT CONTAINER SEARCHED marker=0:-1:2 container=loot_storage_08 granted=2
LOOT CONTAINER SEARCHED marker=0:-1:2 container=loot_storage_09 granted=2
LOOT CONTAINER SEARCHED marker=0:-1:2 container=container_10 granted=2
LOOT CONTAINER SEARCHED marker=0:-1:2 container=container_14 granted=2
LOOT CONTAINER SEARCHED marker=0:-1:2 container=container_22 granted=3
LOOT CONTAINER SEARCHED marker=0:-1:2 container=container_25 granted=2
LOOT CONTAINER SEARCHED marker=0:-1:2 container=container_27 granted=3
LOOT CONTAINER SEARCHED marker=-1:0:1 container=loot_maintenance_03 granted=2
LOOT CONTAINER SEARCHED marker=-1:0:1 container=loot_engineering_04 granted=3
LOOT CONTAINER SEARCHED marker=-1:0:1 container=loot_crew_quarters_06 granted=2
LOOT CONTAINER SEARCHED marker=-1:0:1 container=container_20 granted=2
LOOT CONTAINER SEARCHED marker=-1:0:1 container=container_24 granted=2
LOOT CONTAINER SEARCHED marker=-1:0:1 container=container_25 granted=2
LOOT CONTAINER SEARCHED marker=-1:0:1 container=container_33 granted=1
LOOT CONTAINER SEARCHED marker=-1:-1:1 container=loot_mess_hall_06 granted=2
LOOT CONTAINER SEARCHED marker=-1:-1:1 container=loot_armory_08 granted=2
LOOT CONTAINER SEARCHED marker=-1:-1:1 container=loot_storage_14 granted=2
LOOT CONTAINER SEARCHED marker=-1:-1:1 container=loot_compartment_15 granted=2
LOOT CONTAINER SEARCHED marker=-1:-1:1 container=loot_storage_16 granted=2
LOOT CONTAINER SEARCHED marker=-1:-1:1 container=container_19 granted=2
LOOT CONTAINER SEARCHED marker=-1:-1:1 container=container_26 granted=2
LOOT CONTAINER SEARCHED marker=-1:-1:1 container=container_33 granted=2
LOOT CONTAINER SEARCHED marker=-1:-1:1 container=container_34 granted=2
LOOT CONTAINER SEARCHED marker=-1:-1:1 container=container_35 granted=2
LOOT CONTAINER SEARCHED marker=-1:-1:1 container=container_36 granted=2
LOOT CONTAINER SEARCHED marker=-1:-1:1 container=container_40 granted=3
LOOT CONTAINER SEARCHED marker=-1:-1:1 container=container_41 granted=2
GameplaySliceBuilder slot_fallback room=armory_05 kind=salvage
GameplaySliceBuilder slot_fallback room=maintenance_12 kind=salvage
LOOT CONTAINER SEARCHED marker=-1:0:0 container=loot_engineering_08 granted=2
LOOT CONTAINER SEARCHED marker=-1:0:0 container=loot_storage_16 granted=2
LOOT CONTAINER SEARCHED marker=-1:0:0 container=loot_maintenance_17 granted=1
LOOT CONTAINER SEARCHED marker=-1:0:0 container=container_25 granted=1
LOOT CONTAINER SEARCHED marker=-1:0:0 container=container_32 granted=2
LOOT CONTAINER SEARCHED marker=-1:0:0 container=container_33 granted=2
LOOT CONTAINER SEARCHED marker=-1:0:0 container=container_45 granted=2
LOOT CONTAINER SEARCHED marker=-1:0:0 container=container_46 granted=2
LOOT CONTAINER SEARCHED marker=-1:0:0 container=container_47 granted=2
LOOT CONTAINER SEARCHED marker=-1:0:0 container=container_57 granted=3
LOOT CONTAINER SEARCHED marker=-1:0:0 container=container_59 granted=2
LOOT CONTAINER SEARCHED marker=-1:-1:0 container=loot_cargo_02 granted=2
LOOT CONTAINER SEARCHED marker=-1:-1:0 container=loot_crew_quarters_06 granted=2
LOOT CONTAINER SEARCHED marker=-1:-1:0 container=container_28 granted=3
GameplaySliceBuilder slot_fallback room=storage_07 kind=salvage
LOOT CONTAINER SEARCHED marker=-1:0:2 container=loot_bridge_03 granted=2
LOOT CONTAINER SEARCHED marker=-1:0:2 container=container_32 granted=2
LOOT CONTAINER SEARCHED marker=-1:-1:2 container=loot_medical_06 granted=2
LOOT CONTAINER SEARCHED marker=-1:-1:2 container=loot_storage_10 granted=2
LOOT CONTAINER SEARCHED marker=-1:-1:2 container=loot_storage_29 granted=1
LOOT CONTAINER SEARCHED marker=-1:-1:2 container=container_38 granted=2
LOOT CONTAINER SEARCHED marker=-1:-1:2 container=container_39 granted=1
LOOT CONTAINER SEARCHED marker=-1:-1:2 container=container_44 granted=2
