00:00.278  blend            | Read blend: "/Volumes/Untitled/SynapticSeaAssets/meshes/source/room_kit_v2/props/coolant_pump_skid_derelict_v1/coolant_pump_skid_derelict_v1.blend"
INFO Draco is available, use library at /Applications/Blender.app/Contents/Resources/5.2/scripts/addons_core/io_scene_gltf2/libbf_intern_draco_bridge.dylib
INFO MeshOptimizer is available, use library at /Applications/Blender.app/Contents/Resources/5.2/scripts/addons_core/io_scene_gltf2/libbf_intern_meshopt_bridge.dylib
13:28:44 | INFO: Starting glTF 2.0 export
13:28:44 | INFO: Extracting primitive: Cube.016
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cube.017
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cube.018
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Sphere.004
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Sphere.005
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Sphere.006
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Sphere.007
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cylinder.034
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cylinder.035
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cylinder.036
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cube.021
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cube.022
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cylinder.038
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cylinder.039
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cylinder.040
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cylinder.041
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cube.023
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cube.020
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cube.024
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cube.014
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cylinder.026
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cylinder.027
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cylinder.028
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cylinder.029
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cylinder.030
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cylinder.031
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cube.019
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cylinder.042
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cylinder.043
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cylinder.044
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cylinder.045
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cylinder.023
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cylinder.024
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cylinder.025
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cylinder.037
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cylinder.032
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cylinder.033
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cube.015
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Finished glTF 2.0 export in 0.022858858108520508 s

ROOM_KIT_STATIC_EXPORT_PASS {"meshes": 38, "nodes": 38, "output": "/tmp/room-kit-v2-final-pilot-j7e0hpbn/coolant_pump_skid_derelict_v1.glb", "source": "/Volumes/Untitled/SynapticSeaAssets/meshes/source/room_kit_v2/props/coolant_pump_skid_derelict_v1/coolant_pump_skid_derelict_v1.blend"}
Blender 5.2.0 LTS (hash fbe6228777e7 built 2026-07-14 01:31:22)

Blender quit
