===== fabrication_station_derelict_v1 exit=0 =====
00:00.244  blend            | Read blend: "/Volumes/Untitled/SynapticSeaAssets/meshes/source/room_kit_v2/props/fabrication_station_derelict_v1/fabrication_station_derelict_v1.blend"
INFO Draco is available, use library at /Applications/Blender.app/Contents/Resources/5.2/scripts/addons_core/io_scene_gltf2/libbf_intern_draco_bridge.dylib
INFO MeshOptimizer is available, use library at /Applications/Blender.app/Contents/Resources/5.2/scripts/addons_core/io_scene_gltf2/libbf_intern_meshopt_bridge.dylib
13:28:44 | INFO: Starting glTF 2.0 export
13:28:44 | INFO: Extracting primitive: Cube.031
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cube.030
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cube.032
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cylinder.014
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cylinder.015
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cylinder.016
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cylinder.017
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cube.024
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Sphere.004
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Sphere.005
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Sphere.006
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Sphere.007
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cylinder.011
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cylinder.012
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cylinder.013
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cube.027
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cube.043
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cube.029
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cube.028
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cube.025
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cube.037
13:28:44 | INFO: Primitives created: 1
13:28:44 | INFO: Extracting primitive: Cube.038
13:28:44 | INFO: Primitives created: 1
